sample_id,status,converged,transfer_ready,output_ready,note
000904,valid,1,1,1,
000905,fail,0,0,0,stable fail
000906,valid,1,1,1,
000907,valid,1,1,1,
000908,valid,1,1,1,
000909,valid,1,1,1,
000910,valid,1,1,1,
000911,valid,1,1,1,
000912,valid,1,1,1,
000913,valid,1,1,1,
000914,valid,1,1,1,
000915,valid,1,1,1,
000916,valid,1,1,1,
000917,fail,0,0,0,stable fail
000918,valid,1,1,1,
000919,valid,1,1,1,
000920,valid,1,1,1,
000921,valid,1,1,1,
000922,valid,1,1,1,
000923,valid,1,1,1,
000924,valid,1,1,1,
000925,valid,1,1,1,
000926,valid,1,1,1,
000927,valid,1,1,1,
000928,valid,1,1,1,
000929,fail,0,0,0,stable fail
000930,valid,1,1,1,
000931,fail,0,0,0,stable fail
000932,fail,0,0,0,stable fail
000933,valid,1,1,1,
000934,valid,1,1,1,
000935,valid,1,1,1,
000936,valid,1,1,1,
000937,valid,1,1,1,
000938,valid,1,1,1,
000939,valid,1,1,1,
000940,valid,1,1,1,
000941,valid,1,1,1,
000942,valid,1,1,1,
000943,valid,1,1,1,
000944,valid,1,1,1,
000945,valid,1,1,1,
000946,valid,1,1,1,
000947,valid,1,1,1,
000948,valid,1,1,1,
000949,valid,1,1,1,
000950,valid,1,1,1,
000951,valid,1,1,1,
000952,valid,1,1,1,
000953,valid,1,1,1,
000954,valid,1,1,1,
000955,valid,1,1,1,
000956,valid,1,1,1,
000957,valid,1,1,1,
000958,valid,1,1,1,
000959,valid,1,1,1,
000960,valid,1,1,1,
000961,valid,1,1,1,
000962,valid,1,1,1,
000963,valid,1,1,1,
000964,valid,1,1,1,
000965,valid,1,1,1,
000966,valid,1,1,1,
000967,valid,1,1,1,
000968,valid,1,1,1,
000969,valid,1,1,1,
000970,valid,1,1,1,
000971,valid,1,1,1,
000972,valid,1,1,1,
000973,valid,1,1,1,
000974,valid,1,1,1,
000975,valid,1,1,1,
000976,valid,1,1,1,
000977,valid,1,1,1,
000978,valid,1,1,1,
000979,valid,1,1,1,
000980,valid,1,1,1,
000981,valid,1,1,1,
000982,valid,1,1,1,
000983,valid,1,1,1,
000984,valid,1,1,1,
000985,valid,1,1,1,
000986,valid,1,1,1,
000987,valid,1,1,1,
000988,valid,1,1,1,
000989,valid,1,1,1,
000990,valid,1,1,1,
000991,valid,1,1,1,
000992,valid,1,1,1,
000993,valid,1,1,1,
000994,fail,0,0,0,stable fail
000995,valid,1,1,1,
000996,valid,1,1,1,
000997,valid,1,1,1,
000998,fail,0,0,0,stable fail
000999,valid,1,1,1,
001000,valid,1,1,1,
001001,valid,1,1,1,
001002,valid,1,1,1,
001003,valid,1,1,1,
001004,valid,1,1,1,
001005,valid,1,1,1,
001006,valid,1,1,1,
001007,valid,1,1,1,
001008,valid,1,1,1,
001009,valid,1,1,1,
001010,valid,1,1,1,
001011,valid,1,1,1,
001012,valid,1,1,1,
001013,valid,1,1,1,
001014,valid,1,1,1,
001015,fail,0,0,0,stable fail
001016,valid,1,1,1,
001017,valid,1,1,1,
001018,valid,1,1,1,
001019,valid,1,1,1,
001020,valid,1,1,1,
001021,valid,1,1,1,
001022,valid,1,1,1,
001023,valid,1,1,1,
001024,valid,1,1,1,
001025,valid,1,1,1,
001026,valid,1,1,1,
